idx_episode,score,score_mave100,experiment
1,0.0,,doubledq:v01
2,-2.0,,doubledq:v01
3,0.0,,doubledq:v01
4,0.0,,doubledq:v01
5,0.0,,doubledq:v01
6,0.0,,doubledq:v01
7,0.0,,doubledq:v01
8,-1.0,,doubledq:v01
9,-4.0,,doubledq:v01
10,0.0,,doubledq:v01
11,0.0,,doubledq:v01
12,1.0,,doubledq:v01
13,0.0,,doubledq:v01
14,1.0,,doubledq:v01
15,0.0,,doubledq:v01
16,-1.0,,doubledq:v01
17,1.0,,doubledq:v01
18,0.0,,doubledq:v01
19,-1.0,,doubledq:v01
20,0.0,,doubledq:v01
21,1.0,,doubledq:v01
22,0.0,,doubledq:v01
23,-2.0,,doubledq:v01
24,0.0,,doubledq:v01
25,1.0,,doubledq:v01
26,0.0,,doubledq:v01
27,0.0,,doubledq:v01
28,0.0,,doubledq:v01
29,0.0,,doubledq:v01
30,1.0,,doubledq:v01
31,0.0,,doubledq:v01
32,0.0,,doubledq:v01
33,0.0,,doubledq:v01
34,-1.0,,doubledq:v01
35,0.0,,doubledq:v01
36,0.0,,doubledq:v01
37,0.0,,doubledq:v01
38,0.0,,doubledq:v01
39,0.0,,doubledq:v01
40,2.0,,doubledq:v01
41,2.0,,doubledq:v01
42,0.0,,doubledq:v01
43,3.0,,doubledq:v01
44,1.0,,doubledq:v01
45,0.0,,doubledq:v01
46,2.0,,doubledq:v01
47,-1.0,,doubledq:v01
48,0.0,,doubledq:v01
49,1.0,,doubledq:v01
50,1.0,,doubledq:v01
51,-2.0,,doubledq:v01
52,-2.0,,doubledq:v01
53,2.0,,doubledq:v01
54,0.0,,doubledq:v01
55,1.0,,doubledq:v01
56,0.0,,doubledq:v01
57,0.0,,doubledq:v01
58,0.0,,doubledq:v01
59,0.0,,doubledq:v01
60,0.0,,doubledq:v01
61,-1.0,,doubledq:v01
62,-2.0,,doubledq:v01
63,-1.0,,doubledq:v01
64,2.0,,doubledq:v01
65,1.0,,doubledq:v01
66,-1.0,,doubledq:v01
67,2.0,,doubledq:v01
68,1.0,,doubledq:v01
69,2.0,,doubledq:v01
70,1.0,,doubledq:v01
71,3.0,,doubledq:v01
72,0.0,,doubledq:v01
73,1.0,,doubledq:v01
74,3.0,,doubledq:v01
75,1.0,,doubledq:v01
76,0.0,,doubledq:v01
77,-1.0,,doubledq:v01
78,0.0,,doubledq:v01
79,-2.0,,doubledq:v01
80,-1.0,,doubledq:v01
81,1.0,,doubledq:v01
82,0.0,,doubledq:v01
83,1.0,,doubledq:v01
84,0.0,,doubledq:v01
85,-1.0,,doubledq:v01
86,0.0,,doubledq:v01
