idx_episode,score,score_mave100,experiment
202,3.0,1.72,dqn:v02
203,1.0,1.72,dqn:v02
204,3.0,1.73,dqn:v02
205,0.0,1.72,dqn:v02
206,0.0,1.73,dqn:v02
207,4.0,1.76,dqn:v02
208,1.0,1.76,dqn:v02
209,2.0,1.76,dqn:v02
210,-1.0,1.72,dqn:v02
211,1.0,1.73,dqn:v02
212,2.0,1.75,dqn:v02
213,2.0,1.75,dqn:v02
214,6.0,1.81,dqn:v02
215,3.0,1.87,dqn:v02
216,1.0,1.87,dqn:v02
217,0.0,1.86,dqn:v02
218,5.0,1.91,dqn:v02
219,8.0,1.98,dqn:v02
220,4.0,2.01,dqn:v02
221,3.0,2.03,dqn:v02
222,5.0,2.07,dqn:v02
223,0.0,2.08,dqn:v02
224,0.0,2.08,dqn:v02
225,6.0,2.1,dqn:v02
226,1.0,2.08,dqn:v02
227,1.0,2.07,dqn:v02
228,4.0,2.11,dqn:v02
229,4.0,2.16,dqn:v02
230,1.0,2.15,dqn:v02
231,-1.0,2.15,dqn:v02
232,1.0,2.16,dqn:v02
233,0.0,2.15,dqn:v02
234,5.0,2.16,dqn:v02
235,2.0,2.17,dqn:v02
236,7.0,2.23,dqn:v02
237,4.0,2.26,dqn:v02
238,-1.0,2.26,dqn:v02
239,6.0,2.32,dqn:v02
240,0.0,2.3,dqn:v02
241,1.0,2.28,dqn:v02
242,2.0,2.3,dqn:v02
243,4.0,2.33,dqn:v02
244,3.0,2.36,dqn:v02
245,1.0,2.37,dqn:v02
246,1.0,2.38,dqn:v02
247,10.0,2.48,dqn:v02
248,1.0,2.44,dqn:v02
249,1.0,2.41,dqn:v02
250,2.0,2.38,dqn:v02
251,3.0,2.34,dqn:v02
252,2.0,2.36,dqn:v02
253,9.0,2.47,dqn:v02
254,3.0,2.48,dqn:v02
255,4.0,2.5,dqn:v02
256,8.0,2.58,dqn:v02
257,7.0,2.59,dqn:v02
258,5.0,2.63,dqn:v02
259,6.0,2.67,dqn:v02
260,1.0,2.65,dqn:v02
261,8.0,2.71,dqn:v02
262,5.0,2.76,dqn:v02
263,1.0,2.77,dqn:v02
264,5.0,2.8,dqn:v02
265,5.0,2.81,dqn:v02
266,6.0,2.85,dqn:v02
267,7.0,2.91,dqn:v02
268,9.0,2.98,dqn:v02
269,2.0,2.99,dqn:v02
270,1.0,2.94,dqn:v02
271,3.0,2.98,dqn:v02
272,3.0,2.96,dqn:v02
273,1.0,2.96,dqn:v02
274,6.0,3.01,dqn:v02
275,8.0,3.06,dqn:v02
276,5.0,3.06,dqn:v02
277,10.0,3.14,dqn:v02
278,3.0,3.14,dqn:v02
279,1.0,3.11,dqn:v02
280,5.0,3.13,dqn:v02
281,2.0,3.14,dqn:v02
282,0.0,3.12,dqn:v02
283,4.0,3.1,dqn:v02
284,2.0,3.1,dqn:v02
285,4.0,3.12,dqn:v02
286,2.0,3.13,dqn:v02
287,7.0,3.16,dqn:v02
288,5.0,3.17,dqn:v02
289,5.0,3.21,dqn:v02
290,0.0,3.18,dqn:v02
291,4.0,3.2,dqn:v02
292,1.0,3.18,dqn:v02
293,5.0,3.23,dqn:v02
294,9.0,3.29,dqn:v02
295,4.0,3.28,dqn:v02
296,11.0,3.37,dqn:v02
297,3.0,3.39,dqn:v02
298,1.0,3.39,dqn:v02
299,4.0,3.41,dqn:v02
300,6.0,3.41,dqn:v02
301,11.0,3.51,dqn:v02
302,3.0,3.51,dqn:v02
303,0.0,3.5,dqn:v02
304,4.0,3.51,dqn:v02
305,6.0,3.57,dqn:v02
306,6.0,3.63,dqn:v02
307,5.0,3.64,dqn:v02
308,5.0,3.68,dqn:v02
309,5.0,3.71,dqn:v02
310,-2.0,3.7,dqn:v02
311,4.0,3.73,dqn:v02
312,11.0,3.82,dqn:v02
313,6.0,3.86,dqn:v02
314,2.0,3.82,dqn:v02
315,7.0,3.86,dqn:v02
316,7.0,3.92,dqn:v02
317,6.0,3.98,dqn:v02
318,2.0,3.95,dqn:v02
319,7.0,3.94,dqn:v02
320,10.0,4.0,dqn:v02
321,10.0,4.07,dqn:v02
322,6.0,4.08,dqn:v02
323,4.0,4.12,dqn:v02
324,10.0,4.22,dqn:v02
325,6.0,4.22,dqn:v02
326,8.0,4.29,dqn:v02
327,7.0,4.35,dqn:v02
328,6.0,4.37,dqn:v02
329,2.0,4.35,dqn:v02
330,8.0,4.42,dqn:v02
331,7.0,4.5,dqn:v02
332,1.0,4.5,dqn:v02
333,6.0,4.56,dqn:v02
334,5.0,4.56,dqn:v02
335,7.0,4.61,dqn:v02
336,9.0,4.63,dqn:v02
337,5.0,4.64,dqn:v02
338,4.0,4.69,dqn:v02
339,11.0,4.74,dqn:v02
340,6.0,4.8,dqn:v02
341,5.0,4.84,dqn:v02
342,8.0,4.9,dqn:v02
343,6.0,4.92,dqn:v02
344,11.0,5.0,dqn:v02
345,3.0,5.02,dqn:v02
346,3.0,5.04,dqn:v02
347,3.0,4.97,dqn:v02
348,1.0,4.97,dqn:v02
349,7.0,5.03,dqn:v02
350,3.0,5.04,dqn:v02
351,8.0,5.09,dqn:v02
352,4.0,5.11,dqn:v02
353,4.0,5.06,dqn:v02
354,5.0,5.08,dqn:v02
355,3.0,5.07,dqn:v02
356,10.0,5.09,dqn:v02
357,4.0,5.06,dqn:v02
358,5.0,5.06,dqn:v02
359,10.0,5.1,dqn:v02
360,4.0,5.13,dqn:v02
361,12.0,5.17,dqn:v02
362,12.0,5.24,dqn:v02
363,6.0,5.29,dqn:v02
364,6.0,5.3,dqn:v02
365,10.0,5.35,dqn:v02
366,13.0,5.42,dqn:v02
367,8.0,5.43,dqn:v02
368,8.0,5.42,dqn:v02
369,14.0,5.54,dqn:v02
370,6.0,5.59,dqn:v02
371,6.0,5.62,dqn:v02
372,7.0,5.66,dqn:v02
373,14.0,5.79,dqn:v02
374,12.0,5.85,dqn:v02
375,4.0,5.81,dqn:v02
376,17.0,5.93,dqn:v02
377,9.0,5.92,dqn:v02
378,11.0,6.0,dqn:v02
379,14.0,6.13,dqn:v02
380,4.0,6.12,dqn:v02
381,11.0,6.21,dqn:v02
382,15.0,6.36,dqn:v02
383,10.0,6.42,dqn:v02
384,8.0,6.48,dqn:v02
385,17.0,6.61,dqn:v02
386,10.0,6.69,dqn:v02
387,11.0,6.73,dqn:v02
388,6.0,6.74,dqn:v02
389,10.0,6.79,dqn:v02
390,11.0,6.9,dqn:v02
391,10.0,6.96,dqn:v02
392,8.0,7.03,dqn:v02
393,11.0,7.09,dqn:v02
394,8.0,7.08,dqn:v02
395,15.0,7.19,dqn:v02
396,16.0,7.24,dqn:v02
397,12.0,7.33,dqn:v02
398,5.0,7.37,dqn:v02
399,8.0,7.41,dqn:v02
400,13.0,7.48,dqn:v02
401,7.0,7.44,dqn:v02
402,13.0,7.54,dqn:v02
403,7.0,7.61,dqn:v02
404,7.0,7.64,dqn:v02
405,11.0,7.69,dqn:v02
406,9.0,7.72,dqn:v02
407,14.0,7.81,dqn:v02
408,12.0,7.88,dqn:v02
409,13.0,7.96,dqn:v02
410,14.0,8.12,dqn:v02
411,15.0,8.23,dqn:v02
412,8.0,8.2,dqn:v02
413,11.0,8.25,dqn:v02
414,14.0,8.37,dqn:v02
415,10.0,8.4,dqn:v02
416,11.0,8.44,dqn:v02
417,17.0,8.55,dqn:v02
418,13.0,8.66,dqn:v02
419,11.0,8.7,dqn:v02
420,8.0,8.68,dqn:v02
421,8.0,8.66,dqn:v02
422,14.0,8.74,dqn:v02
423,8.0,8.78,dqn:v02
424,11.0,8.79,dqn:v02
425,14.0,8.87,dqn:v02
426,9.0,8.88,dqn:v02
427,8.0,8.89,dqn:v02
428,14.0,8.97,dqn:v02
429,9.0,9.04,dqn:v02
430,13.0,9.09,dqn:v02
431,10.0,9.12,dqn:v02
432,15.0,9.26,dqn:v02
433,11.0,9.31,dqn:v02
434,12.0,9.38,dqn:v02
435,17.0,9.48,dqn:v02
436,11.0,9.5,dqn:v02
437,13.0,9.58,dqn:v02
438,8.0,9.62,dqn:v02
439,9.0,9.6,dqn:v02
440,8.0,9.62,dqn:v02
441,10.0,9.67,dqn:v02
