idx_episode,score,score_mave100,experiment
1,0.0,,dqn:v01
2,-2.0,,dqn:v01
3,0.0,,dqn:v01
4,0.0,,dqn:v01
5,0.0,,dqn:v01
6,0.0,,dqn:v01
7,0.0,,dqn:v01
8,-3.0,,dqn:v01
9,-3.0,,dqn:v01
10,1.0,,dqn:v01
11,1.0,,dqn:v01
12,1.0,,dqn:v01
13,0.0,,dqn:v01
14,0.0,,dqn:v01
15,0.0,,dqn:v01
16,-2.0,,dqn:v01
17,1.0,,dqn:v01
18,0.0,,dqn:v01
19,0.0,,dqn:v01
20,0.0,,dqn:v01
21,0.0,,dqn:v01
22,0.0,,dqn:v01
23,-1.0,,dqn:v01
24,0.0,,dqn:v01
25,0.0,,dqn:v01
26,-1.0,,dqn:v01
27,-3.0,,dqn:v01
28,0.0,,dqn:v01
29,2.0,,dqn:v01
30,0.0,,dqn:v01
31,0.0,,dqn:v01
32,0.0,,dqn:v01
33,0.0,,dqn:v01
34,0.0,,dqn:v01
35,-1.0,,dqn:v01
36,0.0,,dqn:v01
37,4.0,,dqn:v01
38,-1.0,,dqn:v01
39,-2.0,,dqn:v01
40,2.0,,dqn:v01
41,0.0,,dqn:v01
42,0.0,,dqn:v01
43,0.0,,dqn:v01
44,-1.0,,dqn:v01
45,2.0,,dqn:v01
46,1.0,,dqn:v01
47,0.0,,dqn:v01
48,0.0,,dqn:v01
49,1.0,,dqn:v01
50,-1.0,,dqn:v01
51,-1.0,,dqn:v01
52,1.0,,dqn:v01
53,2.0,,dqn:v01
54,0.0,,dqn:v01
55,1.0,,dqn:v01
56,0.0,,dqn:v01
57,1.0,,dqn:v01
58,1.0,,dqn:v01
59,0.0,,dqn:v01
60,0.0,,dqn:v01
61,0.0,,dqn:v01
62,0.0,,dqn:v01
63,2.0,,dqn:v01
64,1.0,,dqn:v01
65,2.0,,dqn:v01
66,1.0,,dqn:v01
67,1.0,,dqn:v01
68,0.0,,dqn:v01
69,0.0,,dqn:v01
70,0.0,,dqn:v01
71,0.0,,dqn:v01
72,1.0,,dqn:v01
73,0.0,,dqn:v01
74,2.0,,dqn:v01
75,-1.0,,dqn:v01
76,2.0,,dqn:v01
77,-2.0,,dqn:v01
78,1.0,,dqn:v01
79,-1.0,,dqn:v01
80,0.0,,dqn:v01
81,3.0,,dqn:v01
82,0.0,,dqn:v01
83,-1.0,,dqn:v01
84,-1.0,,dqn:v01
85,0.0,,dqn:v01
86,3.0,,dqn:v01
87,0.0,,dqn:v01
88,2.0,,dqn:v01
89,0.0,,dqn:v01
90,4.0,,dqn:v01
