idx_episode,score,score_mave100,experiment
1,0.0,,dueldq:v01
2,-2.0,,dueldq:v01
3,0.0,,dueldq:v01
4,0.0,,dueldq:v01
5,0.0,,dueldq:v01
6,0.0,,dueldq:v01
7,0.0,,dueldq:v01
8,-2.0,,dueldq:v01
9,0.0,,dueldq:v01
10,0.0,,dueldq:v01
11,1.0,,dueldq:v01
12,0.0,,dueldq:v01
13,0.0,,dueldq:v01
14,0.0,,dueldq:v01
15,0.0,,dueldq:v01
16,-1.0,,dueldq:v01
17,1.0,,dueldq:v01
18,-1.0,,dueldq:v01
19,-1.0,,dueldq:v01
20,-1.0,,dueldq:v01
21,0.0,,dueldq:v01
22,0.0,,dueldq:v01
23,-1.0,,dueldq:v01
24,0.0,,dueldq:v01
25,1.0,,dueldq:v01
26,2.0,,dueldq:v01
27,0.0,,dueldq:v01
28,1.0,,dueldq:v01
29,1.0,,dueldq:v01
30,-1.0,,dueldq:v01
31,1.0,,dueldq:v01
32,0.0,,dueldq:v01
33,2.0,,dueldq:v01
34,-1.0,,dueldq:v01
35,-1.0,,dueldq:v01
36,-1.0,,dueldq:v01
37,0.0,,dueldq:v01
38,0.0,,dueldq:v01
39,0.0,,dueldq:v01
40,-1.0,,dueldq:v01
41,-1.0,,dueldq:v01
42,-2.0,,dueldq:v01
43,0.0,,dueldq:v01
44,2.0,,dueldq:v01
45,2.0,,dueldq:v01
46,-2.0,,dueldq:v01
47,0.0,,dueldq:v01
48,0.0,,dueldq:v01
49,0.0,,dueldq:v01
50,1.0,,dueldq:v01
51,0.0,,dueldq:v01
52,0.0,,dueldq:v01
53,3.0,,dueldq:v01
54,0.0,,dueldq:v01
55,0.0,,dueldq:v01
56,0.0,,dueldq:v01
57,2.0,,dueldq:v01
58,0.0,,dueldq:v01
59,-1.0,,dueldq:v01
60,1.0,,dueldq:v01
61,0.0,,dueldq:v01
62,3.0,,dueldq:v01
63,1.0,,dueldq:v01
64,1.0,,dueldq:v01
65,0.0,,dueldq:v01
66,1.0,,dueldq:v01
67,-2.0,,dueldq:v01
68,1.0,,dueldq:v01
69,-1.0,,dueldq:v01
70,0.0,,dueldq:v01
71,1.0,,dueldq:v01
72,0.0,,dueldq:v01
73,1.0,,dueldq:v01
74,0.0,,dueldq:v01
75,0.0,,dueldq:v01
76,-1.0,,dueldq:v01
77,-1.0,,dueldq:v01
78,-1.0,,dueldq:v01
79,-1.0,,dueldq:v01
80,1.0,,dueldq:v01
81,1.0,,dueldq:v01
82,-2.0,,dueldq:v01
83,0.0,,dueldq:v01
84,-1.0,,dueldq:v01
85,1.0,,dueldq:v01
86,0.0,,dueldq:v01
87,-1.0,,dueldq:v01
88,-2.0,,dueldq:v01
89,-1.0,,dueldq:v01
90,0.0,,dueldq:v01
91,-2.0,,dueldq:v01
92,0.0,,dueldq:v01
93,1.0,,dueldq:v01
94,2.0,,dueldq:v01
95,-3.0,,dueldq:v01
96,-1.0,,dueldq:v01
97,2.0,,dueldq:v01
98,2.0,,dueldq:v01
99,2.0,,dueldq:v01
100,1.0,0.03,dueldq:v01
101,2.0,0.05,dueldq:v01
102,0.0,0.07,dueldq:v01
103,0.0,0.07,dueldq:v01
104,1.0,0.08,dueldq:v01
105,-2.0,0.06,dueldq:v01
106,1.0,0.07,dueldq:v01
107,0.0,0.07,dueldq:v01
108,-2.0,0.07,dueldq:v01
109,-1.0,0.06,dueldq:v01
110,3.0,0.09,dueldq:v01
111,1.0,0.09,dueldq:v01
112,-2.0,0.07,dueldq:v01
113,-3.0,0.04,dueldq:v01
114,0.0,0.04,dueldq:v01
115,0.0,0.04,dueldq:v01
116,2.0,0.07,dueldq:v01
117,2.0,0.08,dueldq:v01
118,1.0,0.1,dueldq:v01
119,0.0,0.11,dueldq:v01
120,0.0,0.12,dueldq:v01
121,0.0,0.12,dueldq:v01
122,0.0,0.12,dueldq:v01
123,-1.0,0.12,dueldq:v01
124,-2.0,0.1,dueldq:v01
125,-1.0,0.08,dueldq:v01
126,0.0,0.06,dueldq:v01
127,0.0,0.06,dueldq:v01
128,-2.0,0.03,dueldq:v01
129,-3.0,-0.01,dueldq:v01
130,-4.0,-0.04,dueldq:v01
131,4.0,-0.01,dueldq:v01
132,2.0,0.01,dueldq:v01
133,6.0,0.05,dueldq:v01
134,-2.0,0.04,dueldq:v01
135,2.0,0.07,dueldq:v01
136,2.0,0.1,dueldq:v01
137,3.0,0.13,dueldq:v01
138,-1.0,0.12,dueldq:v01
139,-2.0,0.1,dueldq:v01
140,1.0,0.12,dueldq:v01
141,-2.0,0.11,dueldq:v01
142,-1.0,0.12,dueldq:v01
143,-1.0,0.11,dueldq:v01
144,0.0,0.09,dueldq:v01
145,-1.0,0.06,dueldq:v01
146,1.0,0.09,dueldq:v01
147,1.0,0.1,dueldq:v01
148,0.0,0.1,dueldq:v01
149,-2.0,0.08,dueldq:v01
150,-2.0,0.05,dueldq:v01
151,0.0,0.05,dueldq:v01
152,1.0,0.06,dueldq:v01
153,3.0,0.06,dueldq:v01
154,-1.0,0.05,dueldq:v01
155,2.0,0.07,dueldq:v01
156,-1.0,0.06,dueldq:v01
157,-2.0,0.02,dueldq:v01
158,1.0,0.03,dueldq:v01
159,0.0,0.04,dueldq:v01
160,0.0,0.03,dueldq:v01
161,1.0,0.04,dueldq:v01
162,2.0,0.03,dueldq:v01
163,1.0,0.03,dueldq:v01
164,-1.0,0.01,dueldq:v01
165,1.0,0.02,dueldq:v01
166,2.0,0.03,dueldq:v01
167,1.0,0.06,dueldq:v01
168,1.0,0.06,dueldq:v01
169,1.0,0.08,dueldq:v01
170,0.0,0.08,dueldq:v01
171,2.0,0.09,dueldq:v01
172,-1.0,0.08,dueldq:v01
173,-2.0,0.05,dueldq:v01
174,1.0,0.06,dueldq:v01
175,-2.0,0.04,dueldq:v01
176,1.0,0.06,dueldq:v01
177,0.0,0.07,dueldq:v01
178,-2.0,0.06,dueldq:v01
179,2.0,0.09,dueldq:v01
180,0.0,0.08,dueldq:v01
181,0.0,0.07,dueldq:v01
182,1.0,0.1,dueldq:v01
183,0.0,0.1,dueldq:v01
184,-1.0,0.1,dueldq:v01
185,2.0,0.11,dueldq:v01
186,-4.0,0.07,dueldq:v01
187,1.0,0.09,dueldq:v01
188,3.0,0.14,dueldq:v01
189,1.0,0.16,dueldq:v01
190,-2.0,0.14,dueldq:v01
191,-1.0,0.15,dueldq:v01
192,-3.0,0.12,dueldq:v01
193,3.0,0.14,dueldq:v01
194,1.0,0.13,dueldq:v01
195,0.0,0.16,dueldq:v01
196,-2.0,0.15,dueldq:v01
197,0.0,0.13,dueldq:v01
198,-3.0,0.08,dueldq:v01
199,0.0,0.06,dueldq:v01
200,2.0,0.07,dueldq:v01
201,-1.0,0.04,dueldq:v01
202,-2.0,0.02,dueldq:v01
203,0.0,0.02,dueldq:v01
204,0.0,0.01,dueldq:v01
205,-2.0,0.01,dueldq:v01
206,-1.0,-0.01,dueldq:v01
207,-1.0,-0.02,dueldq:v01
208,-1.0,-0.01,dueldq:v01
209,1.0,0.01,dueldq:v01
210,2.0,0.0,dueldq:v01
211,0.0,-0.01,dueldq:v01
212,3.0,0.04,dueldq:v01
213,4.0,0.11,dueldq:v01
214,3.0,0.14,dueldq:v01
215,-3.0,0.11,dueldq:v01
216,-1.0,0.08,dueldq:v01
217,1.0,0.07,dueldq:v01
218,-3.0,0.03,dueldq:v01
219,-2.0,0.01,dueldq:v01
220,2.0,0.03,dueldq:v01
221,2.0,0.05,dueldq:v01
222,0.0,0.05,dueldq:v01
223,4.0,0.1,dueldq:v01
224,-2.0,0.1,dueldq:v01
225,-1.0,0.1,dueldq:v01
226,-3.0,0.07,dueldq:v01
227,-1.0,0.06,dueldq:v01
228,-1.0,0.07,dueldq:v01
229,-4.0,0.06,dueldq:v01
230,-2.0,0.08,dueldq:v01
231,0.0,0.04,dueldq:v01
232,1.0,0.03,dueldq:v01
233,-1.0,-0.04,dueldq:v01
234,0.0,-0.02,dueldq:v01
235,1.0,-0.03,dueldq:v01
236,-1.0,-0.06,dueldq:v01
237,-2.0,-0.11,dueldq:v01
238,2.0,-0.08,dueldq:v01
239,0.0,-0.06,dueldq:v01
240,1.0,-0.06,dueldq:v01
241,1.0,-0.03,dueldq:v01
242,-3.0,-0.05,dueldq:v01
243,-1.0,-0.05,dueldq:v01
244,0.0,-0.05,dueldq:v01
245,0.0,-0.04,dueldq:v01
246,-3.0,-0.08,dueldq:v01
247,-1.0,-0.1,dueldq:v01
248,1.0,-0.09,dueldq:v01
249,0.0,-0.07,dueldq:v01
250,1.0,-0.04,dueldq:v01
251,1.0,-0.03,dueldq:v01
252,1.0,-0.03,dueldq:v01
253,3.0,-0.03,dueldq:v01
254,0.0,-0.02,dueldq:v01
255,0.0,-0.04,dueldq:v01
256,-1.0,-0.04,dueldq:v01
257,-2.0,-0.04,dueldq:v01
258,0.0,-0.05,dueldq:v01
259,-1.0,-0.06,dueldq:v01
260,1.0,-0.05,dueldq:v01
261,2.0,-0.04,dueldq:v01
262,2.0,-0.04,dueldq:v01
263,2.0,-0.03,dueldq:v01
264,3.0,0.01,dueldq:v01
265,-1.0,-0.01,dueldq:v01
266,-1.0,-0.04,dueldq:v01
